,M1,M2,M3,P1,P2,P2_1,P2_2,P2_3,P3,P3_1,P3_3,P4,P4_1,P4_2,P4_3,P6,P7,P8,IJ1-IJ2,-IJ1,IJ2-,IJ3-IJ4,-IJ3,IJ4-,IJ5-IJ6,-IJ5,IJ6-,IJ7-IJ8,-IJ7,IJ8-,IJ1-IJ3,IJ4-IJ2,IJ3-IJ5,IJ5-IJ7,IJ7-IJ61,IJ4-IJ6,IJ6-IJ8,IJ8-IJ61,Main_Pump
0,0.03497102,0.03497102,0.03497102,0.03497102,0.0061705112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6728784e-09,0.0,0.034970984,0.03497099,0.03497099,0.03497099,0.0,0.02880051,0.0,0.034971017,0.006170511,0.034970984,0.0,0.0,6.839099e-09,0.0,0.0,-6.6472086e-09,0.028800504,0.0,0.0,0.0,0.0,2.105196e-08,1.6791357e-09,0.0,0.03497102
3600,0.034971114,0.034971114,0.034971114,0.034971114,0.006170528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4277106e-09,0.0,0.034970913,0.034970924,0.034970924,0.034970924,0.0,0.028800586,0.0,0.034971103,0.0061705275,0.034970913,0.0,0.0,1.1576558e-08,0.0,0.0,-4.378092e-09,0.028800579,0.0,0.0,0.0,0.0,1.8978807e-07,8.723404e-08,0.0,0.034971114
7200,0.03497099,0.03497099,0.03497099,0.03497099,0.006170507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9034523e-09,0.0,0.034971002,0.034971014,0.034971014,0.034971014,0.0,0.028800488,0.0,0.034970988,0.0061705066,0.034971002,0.0,0.0,4.942065e-09,0.0,0.0,-5.350632e-09,0.028800484,0.0,0.0,0.0,0.0,-1.8676143e-08,-9.434049e-09,0.0,0.03497099
10800,0.03497101,0.03497101,0.03497101,0.03497101,0.006170509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3126214e-09,0.0,0.034970988,0.034971002,0.034971002,0.034971002,0.0,0.028800497,0.0,0.034971002,0.0061705085,0.034970988,0.0,0.0,6.628135e-10,0.0,0.0,-4.997184e-10,0.028800495,0.0,0.0,0.0,0.0,1.0928099e-08,1.28069875e-08,0.0,0.03497101
14400,0.034970965,0.034970965,0.034970965,0.034970965,0.006170502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9430674e-09,0.0,0.03497102,0.034971032,0.034971032,0.034971032,0.0,0.028800465,0.0,0.034970958,0.006170502,0.03497102,0.0,0.0,-7.454587e-09,0.0,0.0,3.927379e-09,0.02880046,0.0,0.0,0.0,0.0,-6.529341e-08,-2.4859814e-08,0.0,0.034970965
18000,0.034971002,0.034971002,0.034971002,0.034971002,0.006170508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1327177e-10,0.0,0.034971,0.03497101,0.03497101,0.03497101,0.0,0.028800495,0.0,0.03497099,0.006170508,0.034971,0.0,0.0,2.3252686e-10,0.0,0.0,1.4357547e-08,0.028800488,0.0,0.0,0.0,0.0,-8.524136e-09,1.2397504e-08,0.0,0.034971002
21600,0.03497095,0.03497095,0.03497095,0.03497095,0.0061704996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7172443e-09,0.0,0.034971036,0.034971043,0.034971043,0.034971043,0.0,0.028800454,0.0,0.034970947,0.0061704996,0.034971036,0.0,0.0,2.78142e-10,0.0,0.0,-1.9192274e-09,0.028800447,0.0,0.0,0.0,0.0,-9.079925e-08,5.2848237e-09,0.0,0.03497095
25200,0.03497101,0.03497101,0.03497101,0.03497101,0.006170509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8332601e-09,0.0,0.034970988,0.034971002,0.034971002,0.034971002,0.0,0.028800497,0.0,0.034971002,0.006170509,0.034970988,0.0,0.0,2.3303826e-09,0.0,0.0,-3.268069e-09,0.028800495,0.0,0.0,0.0,0.0,5.0128137e-09,-6.5425723e-09,0.0,0.03497101
28800,0.034971006,0.034971006,0.034971006,0.034971006,0.006170508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2191895e-09,0.0,0.03497099,0.034971006,0.034971006,0.034971006,0.0,0.028800495,0.0,0.034971,0.006170508,0.03497099,0.0,0.0,1.911521e-09,0.0,0.0,-2.5032978e-09,0.028800491,0.0,0.0,0.0,0.0,-1.7791323e-09,3.92261e-09,0.0,0.034971006
32400,0.034971,0.034971,0.034971,0.034971,0.006170507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2859067e-10,0.0,0.034971002,0.034971014,0.034971014,0.034971014,0.0,0.028800488,0.0,0.034970988,0.006170507,0.034971002,0.0,0.0,1.1391849e-10,0.0,0.0,-1.2180849e-09,0.028800484,0.0,0.0,0.0,0.0,-1.5919204e-08,-4.4711865e-09,0.0,0.034971
36000,0.034971002,0.034971002,0.034971002,0.034971002,0.006170508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2461634e-10,0.0,0.034971,0.034971006,0.034971006,0.034971006,0.0,0.028800495,0.0,0.034971,0.006170508,0.034971,0.0,0.0,-4.4412077e-10,0.0,0.0,-1.0173209e-09,0.028800488,0.0,0.0,0.0,0.0,-4.333331e-09,-4.518395e-09,0.0,0.034971002
39600,0.034971006,0.034971006,0.034971006,0.034971006,0.0061705085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.172434e-10,0.0,0.03497099,0.034971006,0.034971006,0.034971006,0.0,0.028800497,0.0,0.034971002,0.0061705085,0.03497099,0.0,0.0,-2.8938296e-10,0.0,0.0,1.1274724e-09,0.028800491,0.0,0.0,0.0,0.0,3.017461e-09,9.118752e-09,0.0,0.034971006
43200,0.034971002,0.034971002,0.034971002,0.034971002,0.006170508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.834355e-09,0.0,0.034971,0.034971006,0.034971006,0.034971006,0.0,0.028800495,0.0,0.03497099,0.006170508,0.034971,0.0,0.0,5.1595865e-09,0.0,0.0,-9.0529495e-09,0.028800488,0.0,0.0,0.0,0.0,-8.0678547e-10,1.555217e-10,0.0,0.034971002
46800,0.034971,0.034971,0.034971,0.034971,0.0061705075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1356854e-09,0.0,0.034971,0.03497101,0.03497101,0.03497101,0.0,0.028800491,0.0,0.03497099,0.0061705075,0.034971,0.0,0.0,-2.3180203e-08,0.0,0.0,6.15377e-09,0.028800484,0.0,0.0,0.0,0.0,8.876387e-09,-4.3877733e-09,0.0,0.034971
50400,0.03497101,0.03497101,0.03497101,0.03497101,0.006170509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.207173e-09,0.0,0.03497099,0.034971002,0.034971002,0.034971002,0.0,0.028800497,0.0,0.034971002,0.0061705085,0.034970988,0.0,0.0,-3.1651986e-08,0.0,0.0,4.4840167e-09,0.028800491,0.0,0.0,0.0,0.0,3.407592e-09,6.2298366e-09,0.0,0.03497101
54000,0.034971017,0.034971017,0.034971017,0.034971017,0.00617051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1192291e-08,0.0,0.034970988,0.034971,0.034971,0.034971,0.0,0.0288005,0.0,0.03497101,0.00617051,0.034970988,0.0,0.0,1.0053521e-08,0.0,0.0,-1.1823994e-08,0.028800497,0.0,0.0,0.0,0.0,1.4670123e-09,-1.2676399e-08,0.0,0.034971017
57600,0.03497099,0.03497099,0.03497099,0.03497099,0.006170507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2973077e-09,0.0,0.034971002,0.034971014,0.034971014,0.034971014,0.0,0.028800488,0.0,0.034970988,0.006170507,0.034971002,0.0,0.0,-8.59206e-09,0.0,0.0,-6.2394495e-10,0.028800484,0.0,0.0,0.0,0.0,-1.364311e-08,-1.4937451e-09,0.0,0.03497099
61200,0.03497101,0.03497101,0.03497101,0.03497101,0.0061705094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1413253e-09,0.0,0.034970988,0.034971002,0.034971002,0.034971002,0.0,0.0288005,0.0,0.034971006,0.006170509,0.034970988,0.0,0.0,3.1526002e-09,0.0,0.0,-7.1852646e-10,0.028800495,0.0,0.0,0.0,0.0,1.1357719e-08,1.4757933e-07,0.0,0.03497101
64800,0.034971006,0.034971006,0.034971006,0.034971006,0.0061705085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4928372e-08,0.0,0.03497099,0.034971006,0.034971006,0.034971006,0.0,0.028800495,0.0,0.034971,0.006170508,0.03497099,0.0,0.0,-2.5060913e-08,0.0,0.0,2.5015126e-08,0.028800491,0.0,0.0,0.0,0.0,3.8311537e-10,2.5521627e-08,0.0,0.034971006
68400,0.034971,0.034971,0.034971,0.034971,0.006170507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5999597e-10,0.0,0.034971002,0.034971014,0.034971014,0.034971014,0.0,0.028800488,0.0,0.034970988,0.006170507,0.034971002,0.0,0.0,2.8047265e-10,0.0,0.0,-6.8671824e-09,0.028800484,0.0,0.0,0.0,0.0,-1.1959402e-08,2.5666875e-09,0.0,0.034971
72000,0.034970988,0.034970988,0.034970988,0.034970988,0.0061705066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5088571e-09,0.0,0.034971006,0.034971014,0.034971014,0.034971014,0.0,0.028800484,0.0,0.034970988,0.006170506,0.034971006,0.0,0.0,-2.8435316e-09,0.0,0.0,1.2877005e-07,0.028800482,0.0,0.0,0.0,0.0,-2.0346498e-08,-2.0219673e-08,0.0,0.034970988
